epoch,accuracy,loss,val_accuracy,val_loss
0,0.3046000003814697,2.504366874694824,0.4724000096321106,1.646234154701233
1,0.38937777280807495,1.9423032999038696,0.5414000153541565,1.35041081905365
2,0.45339998602867126,1.6120998859405518,0.5356000065803528,1.365116000175476
3,0.5040444731712341,1.4453341960906982,0.5784000158309937,1.2503288984298706
4,0.5279111266136169,1.3756842613220215,0.5740000009536743,1.2899863719940186
5,0.5479999780654907,1.3205852508544922,0.5938000082969666,1.1971790790557861
6,0.5631555318832397,1.2785401344299316,0.6179999709129333,1.1880223751068115
7,0.5724666714668274,1.2523908615112305,0.6029999852180481,1.2493418455123901
8,0.5890666842460632,1.2206493616104126,0.5802000164985657,1.3385311365127563
9,0.5955777764320374,1.203317642211914,0.6344000101089478,1.1274049282073975
10,0.6041777729988098,1.1843637228012085,0.6492000222206116,1.0994189977645874
11,0.6110222339630127,1.16694974899292,0.6696000099182129,1.030517339706421
12,0.620555579662323,1.1485052108764648,0.6394000053405762,1.132022738456726
13,0.6206444501876831,1.1439743041992188,0.6970000267028809,0.941291332244873
14,0.6294888854026794,1.124914288520813,0.6854000091552734,1.007965326309204
15,0.6302666664123535,1.1261334419250488,0.6894000172615051,0.9880105257034302
16,0.6359999775886536,1.1229432821273804,0.680400013923645,1.0119123458862305
17,0.6381999850273132,1.1106154918670654,0.7074000239372253,0.9339699149131775
18,0.6385111212730408,1.1016862392425537,0.7129999995231628,0.9127727746963501
19,0.6480000019073486,1.0930705070495605,0.7146000266075134,0.9222381711006165
20,0.6486222147941589,1.0868829488754272,0.6913999915122986,1.0175360441207886
21,0.6506666541099548,1.079771637916565,0.7174000144004822,0.9157230257987976
22,0.6538666486740112,1.07431960105896,0.7242000102996826,0.8783770799636841
23,0.6556666493415833,1.073011875152588,0.7160000205039978,0.9257572293281555
24,0.6573110818862915,1.063544750213623,0.6899999976158142,1.0032302141189575
25,0.658644437789917,1.0684336423873901,0.7174000144004822,0.9147040247917175
26,0.6603111028671265,1.0649306774139404,0.6980000138282776,0.9946792125701904
27,0.6788889169692993,1.0088154077529907,0.7343999743461609,0.8661888837814331
28,0.6813777685165405,0.9936394691467285,0.7296000123023987,0.8953598737716675
29,0.6842888593673706,0.9877705574035645,0.7350000143051147,0.8478092551231384
30,0.6846444606781006,0.9829263687133789,0.7215999960899353,0.9113845825195312
31,0.6895555257797241,0.974618673324585,0.7408000230789185,0.8239602446556091
32,0.6891777515411377,0.975620687007904,0.7319999933242798,0.8627209067344666
