epoch,train_loss,val_loss,val_iou,val_dice,lr
1,0.998425898267262,0.84882110045917,0.4651205189315512,0.34924558,0.001
2,0.774574533327302,0.685169826915015,0.5898690972811408,0.44551936,0.0009997557473810372
3,0.6328660432082504,0.5513804433728332,0.6399913657969319,0.5429308,0.0009990232305719946
4,0.5164929726230565,0.4613220599382671,0.6786309165276547,0.61559165,0.0009978031724785247
5,0.43320546443782637,0.40602773194437597,0.7189344836598035,0.6686317,0.0009960967771506667
6,0.3753035117441149,0.33996035859211166,0.7233089293697581,0.7186546,0.0009939057285945933
7,0.336246053229517,0.3233824814878293,0.7342963745516776,0.73455745,0.0009912321891107012
8,0.308956607953826,0.2772842263107869,0.7649173997558606,0.7714615,0.0009880787971596802
9,0.28193162848700337,0.251680103311343,0.7695741267792403,0.79485464,0.0009844486647586726
10,0.2601270390980279,0.23730974116209727,0.7751419606617862,0.80714256,0.000980345374410087
11,0.24021564557481168,0.23151779903182343,0.7734814148745704,0.8118547,0.0009757729755661012
12,0.23192558849035805,0.22695899426714697,0.7869690306424133,0.8225848,0.0009707359806323418
13,0.22582615444909282,0.21961755797600568,0.7856528755101048,0.823873,0.0009652393605146846
14,0.21563309831405753,0.19860196007943864,0.8046542864823314,0.84204763,0.0009592885397135708
15,0.21291705765830937,0.20762161596386292,0.786812901355217,0.8347553,0.0009528893909706799
16,0.20642018229214112,0.2054547255775377,0.7911362175958935,0.8373042,0.0009460482294732424
17,0.21094959662921392,0.21412346717804226,0.7915344215797704,0.83315426,0.0009387718066217127
18,0.20051660733436472,0.19852828023149005,0.7957876859468148,0.8411808,0.0009310673033669524
19,0.19520493518950335,0.20892008894415043,0.8023432494398991,0.84275615,0.0009229423231234977
20,0.19652303463932294,0.20484355709223606,0.8099970754684033,0.84056026,0.0009144048842659084
21,0.19027453961212243,0.19734322624420053,0.7935176118093111,0.84459376,0.0009054634122155993
22,0.18609163532061362,0.17973541637965992,0.8141784831962511,0.858712,0.000896126731125967
23,0.18955861843788802,0.18810568555299914,0.7985478201721835,0.85315514,0.000886404055174016
24,0.19321979960398888,0.18806098284783648,0.8058925997309148,0.8543778,0.0008763049794670778
25,0.185915817409309,0.18573885227539647,0.8073723587948329,0.8562702,0.000865839470573599
26,0.18141819303160284,0.19440222753962474,0.7984828568703843,0.8480341,0.0008550178566873413
27,0.1847487570189718,0.1969465342308603,0.7929839927986789,0.8453516,0.0008438508174347012
28,0.17622327815685698,0.17379837725033512,0.8169877095816065,0.8653592,0.000832349373335208
29,0.17863778347399697,0.1940554406271497,0.7982991567995512,0.8461559,0.0008205248749256018
30,0.17719236661249133,0.1880722696434206,0.8123920293324531,0.8597197,0.0008083889915582238
31,0.17285991004153864,0.17880459702504214,0.809708471245436,0.8603586,0.0007959536998847747
32,0.17165234851748196,0.16579819337200763,0.824401570449593,0.8719098,0.0007832312720368051
33,0.16783880842710608,0.17226688991954078,0.8146321557968695,0.86729527,0.0007702342635146037
34,0.16991743156269415,0.16713013402672847,0.8226647259873668,0.87229604,0.0007569755007964342
35,0.1677672711770926,0.1715696946120084,0.8165697078745593,0.866463,0.0007434680686803494
36,0.17338964142906133,0.18244436669594316,0.8082722889377453,0.8588075,0.0007297252973710761
37,0.16883307450742863,0.1698330789943462,0.818741583411147,0.873231,0.0007157607493247114
38,0.1671415427282675,0.16419962682385944,0.8222633250148417,0.87430173,0.0007015882058642168
39,0.1665127536476548,0.16647195810479903,0.8213999212536907,0.87478405,0.0006872216535789162
40,0.17386303686383944,0.17893261288695816,0.8060701985717754,0.8590695,0.0006726752705214198
41,0.16497164953555635,0.1662190024699293,0.8218677664160696,0.87566537,0.0006579634122155995
42,0.16480462286454528,0.1653712916591052,0.8174158829651973,0.87191254,0.000643100597489419
43,0.1641268756852221,0.16457757747162188,0.8173208531312893,0.8721679,0.0006281014941466035
44,0.16150448649232066,0.16505061493102294,0.8181593581488381,0.87248677,0.000612980904491289
45,0.16532337632197053,0.17344067857336642,0.8070848948247674,0.8661922,0.0005977537507199342
46,0.16311767964220758,0.1594130768537966,0.8234862629657284,0.8775868,0.0005824350601949147
47,0.16677165976656017,0.16198657853389853,0.8225442054452011,0.8741282,0.000567039950614331
48,0.16136971160547056,0.17744939514338526,0.807284722419817,0.8610219,0.0005515836150926649
49,0.1606210718181596,0.16227172761321512,0.8206522480257111,0.8745006,0.0005360813071670105
50,0.15965313153035604,0.16251963582723888,0.8235132132699468,0.87444115,0.0005205483257436738
51,0.16496792402285249,0.17332283129442982,0.8120447934783284,0.8645879,0.0005050000000000002
52,0.1597895001742377,0.16150809699363672,0.8223259795868941,0.875768,0.0004894516742563267
53,0.1615381874700091,0.15909767984899123,0.8240676095494989,0.87751615,0.0004739186928329901
54,0.15944032215360385,0.16710711593058572,0.8184209333397612,0.869123,0.00045841638490733556
55,0.15551359729090733,0.16391764150293014,0.8199013670243127,0.8736874,0.0004429600493856696
56,0.1575514418420507,0.1654236897297982,0.8170172077477891,0.871336,0.0004275649398050859
57,0.15629833881089936,0.17235757610691127,0.8132251319124578,0.86465806,0.0004122462492800665
58,0.1592994414603532,0.15755700671683942,0.8249249424410315,0.87905544,0.00039701909550871175
59,0.15571280212989494,0.1646499394981274,0.8227782003869533,0.8746568,0.000381898505853397
60,0.15618785315040332,0.16478077330584848,0.8180852647359819,0.8721273,0.00036689940251058173
61,0.15773147833881093,0.15766867601882611,0.8252230454437485,0.87902004,0.00035203658778440135
62,0.15513310314559225,0.15908786084558538,0.8243552059984883,0.8776195,0.00033732472947858096
63,0.15583908735816157,0.164480415423081,0.8185534531085963,0.87253714,0.0003227783464210847
64,0.15684017249897345,0.16753310946497454,0.8191249971361608,0.8696918,0.0003084117941357837
65,0.15519127761250112,0.16262425786690482,0.8212937230665286,0.8745473,0.0002942392506752892
66,0.15399419972256048,0.16672918673104314,0.8193618199914985,0.8706968,0.0002802747026289245
67,0.1573701163948472,0.17008969579726013,0.8161811585017533,0.86721545,0.000266531931319651
68,0.15429949916120786,0.1698705865237028,0.8162518117700153,0.86734647,0.0002530244992035663
69,0.15734106446824855,0.17138473911961513,0.813893750267822,0.86544085,0.00023976573648539667
70,0.15454751953705034,0.1603586762837732,0.821572484530696,0.8764345,0.00022676872796319544
71,0.15354639002636297,0.15849908252260578,0.8247752404400847,0.8779964,0.00021404630011522598
72,0.15306276772449265,0.1648510140436354,0.8191612186107677,0.8721761,0.00020161100844177672
73,0.15405928688262827,0.15297627308642242,0.8311081590626492,0.8835115,0.0001894751250743987
74,0.15103847144254998,0.15436006443046812,0.8291030649535347,0.88150656,0.00017765062666479255
75,0.1533725933352513,0.15505066366671627,0.8273648269332984,0.8811032,0.0001661491825652992
76,0.15066175185032746,0.1601064980530472,0.8217020462578374,0.87636536,0.00015498214331265912
77,0.1534498678659325,0.1599061954071495,0.8225345061474271,0.87636644,0.00014416052942640148
78,0.1543453554831334,0.15746826011298307,0.8247168996141798,0.8787033,0.00013369502053292258
79,0.1535126640280681,0.17014047000279178,0.8151789040364589,0.8671309,0.00012359594482598446
80,0.15180957828884695,0.155488021630071,0.8272365698612478,0.88102585,0.00011387326887403332
81,0.15231526609676987,0.15895064303012035,0.8237871546326632,0.8776427,0.00010453658778440112
82,0.15313334362720377,0.1558206190230019,0.8264727050668472,0.88039196,9.5595115734092e-05
83,0.153246125400956,0.15668847240896813,0.8252679447768756,0.8796824,8.705767687650269e-05
84,0.15145031262689562,0.16719385546479207,0.8171174543661084,0.87008387,7.893269663304787e-05
85,0.15411068765974756,0.15771551563668607,0.8250563719384887,0.87906057,7.122819337828756e-05
86,0.1522045593653152,0.16407809405128904,0.8190185094077317,0.87250227,6.395177052675798e-05
87,0.15099205132295837,0.16353584164336546,0.8204125643890421,0.8733907,5.711060902932045e-05
88,0.15233125381950122,0.16340324806688883,0.8196307285871598,0.8737867,5.071146028642948e-05
89,0.15120019986113506,0.15701615729772334,0.8258278374001725,0.87913704,4.476063948531561e-05
90,0.15184802606479444,0.15950621303115317,0.8234598220839798,0.87699914,3.9264019367658426e-05
91,0.15275944624818974,0.1588818876545376,0.8244825471038655,0.87808746,3.4227024433899026e-05
92,0.15086434859393247,0.1618350485562166,0.8215412540653834,0.87501204,2.9654625589913258e-05
93,0.1510980726400418,0.15390306410949622,0.8301877944520905,0.88256127,2.5551335241327692e-05
94,0.15244915892383945,0.15944163855721258,0.8239584927451739,0.87725836,2.192120284032009e-05
95,0.151710339446566,0.1617330821620217,0.8217229545959412,0.8748088,1.8767810889299096e-05
96,0.15332994143019862,0.1581080735230179,0.8248222871494141,0.8784029,1.609427140540687e-05
97,0.15227673803247624,0.1610128584025956,0.8228481448875652,0.87585986,1.3903222849333514e-05
98,0.15203983125401965,0.16514779377117086,0.8198945392594174,0.8718395,1.2196827521475406e-05
99,0.15139887159440055,0.16107962190159666,0.821837234998498,0.875624,1.097676942800558e-05
100,0.151098497990352,0.16198874630534382,0.8212545534680887,0.8747046,1.024425261896286e-05
