epoch,d_loss,g_loss,real_score,fake_score
1,1.3678696155548096,0.7709649801254272,0.4777846336364746,0.46465182304382324
2,1.3819270133972168,0.7964110970497131,0.4489346742630005,0.4512997567653656
3,1.379355788230896,0.7962509989738464,0.4497053325176239,0.45114198327064514
4,1.3783031702041626,0.7972934246063232,0.44975459575653076,0.4506530165672302
5,1.3670066595077515,0.817359447479248,0.4580829441547394,0.4452188014984131
6,1.3819829225540161,0.7971497774124146,0.4489191174507141,0.4510799050331116
7,1.3786462545394897,0.7980930209159851,0.4495413303375244,0.45040392875671387
8,1.3781383037567139,0.7981194853782654,0.4497101306915283,0.4503593146800995
9,1.3647807836532593,0.821469783782959,0.45872047543525696,0.443649560213089
10,1.3675378561019897,0.8215749263763428,0.4570423364639282,0.4436042904853821
11,1.375693678855896,0.801119327545166,0.4510679543018341,0.4494611322879791
12,1.3767759799957275,0.8005324006080627,0.4505702257156372,0.449665367603302
13,1.3743822574615479,0.8078342080116272,0.45262759923934937,0.44716382026672363
14,1.3763083219528198,0.8003711700439453,0.45222195982933044,0.44991809129714966
15,1.3754637241363525,0.8001890182495117,0.45091867446899414,0.4496367871761322
16,1.3743741512298584,0.8032655119895935,0.4517160952091217,0.44870516657829285
17,1.368360996246338,0.8160845637321472,0.4555392265319824,0.44466274976730347
18,1.373705506324768,0.8027300834655762,0.4519782066345215,0.44884705543518066
19,1.3744231462478638,0.8026020526885986,0.45129096508026123,0.44885918498039246
20,1.3734772205352783,0.8062799572944641,0.4527508318424225,0.4478578567504883
21,1.3721576929092407,0.8113579154014587,0.45356065034866333,0.4460168182849884
22,1.3741718530654907,0.8018760085105896,0.451875239610672,0.449194073677063
23,1.3746472597122192,0.8028902411460876,0.45121702551841736,0.44878602027893066
24,1.3739819526672363,0.8056326508522034,0.4524386525154114,0.44815897941589355
25,1.3749823570251465,0.8043069839477539,0.4513438642024994,0.4483806788921356
26,1.3736224174499512,0.8036222457885742,0.451659232378006,0.4485231339931488
27,1.3742256164550781,0.8079865574836731,0.4527691900730133,0.44739729166030884
28,1.3736333847045898,0.8031401038169861,0.4522451162338257,0.4488199055194855
29,1.373214602470398,0.8039493560791016,0.4520553648471832,0.44848400354385376
30,1.374380350112915,0.8035821914672852,0.4515598714351654,0.4486349821090698
31,1.3734636306762695,0.8076774477958679,0.45344027876853943,0.4474840760231018
32,1.372204065322876,0.8086791634559631,0.4532874524593353,0.4469953775405884
33,1.3716939687728882,0.8051902055740356,0.45238196849823,0.447956919670105
34,1.3732995986938477,0.8051186203956604,0.4521406888961792,0.4481731951236725
35,1.373174786567688,0.8094488382339478,0.45273345708847046,0.4467894434928894
36,1.3725858926773071,0.8059523105621338,0.4530075192451477,0.44796502590179443
37,1.3722853660583496,0.8050942420959473,0.4525478780269623,0.4481518864631653
38,1.372684359550476,0.8063393831253052,0.45223110914230347,0.44773104786872864
39,1.372329592704773,0.8122556805610657,0.45381662249565125,0.44605186581611633
40,1.3735432624816895,0.8049619793891907,0.452390193939209,0.4482225477695465
41,1.3713459968566895,0.8060479164123535,0.45281291007995605,0.44775834679603577
42,1.3720465898513794,0.8070628643035889,0.45275014638900757,0.44755929708480835
43,1.3719075918197632,0.8113252520561218,0.4530903995037079,0.44620051980018616
44,1.3731871843338013,0.8066459894180298,0.45318180322647095,0.4478704035282135
45,1.3699731826782227,0.8078285455703735,0.45318275690078735,0.44710615277290344
46,1.3717703819274902,0.8077568411827087,0.4527423679828644,0.44730979204177856
47,1.3710987567901611,0.8089161515235901,0.45302438735961914,0.4469083547592163
48,1.3711341619491577,0.8134531378746033,0.4546775221824646,0.4456895887851715
49,1.3718034029006958,0.8071398138999939,0.4524746835231781,0.4474102556705475
50,1.3710130453109741,0.8078969717025757,0.45305341482162476,0.44724032282829285
