epoch,critic_loss,generator_loss,real_score,fake_score
1,-1.2637765407562256,-17.28298568725586,19.065895080566406,17.603342056274414
2,-0.45397719740867615,-15.475255966186523,16.317190170288086,15.812026023864746
3,-0.5720113515853882,-14.232447624206543,15.077543258666992,14.445390701293945
4,-0.5904651284217834,-15.317451477050781,16.15202522277832,15.50357437133789
5,-0.6289786696434021,-16.412410736083984,17.25018882751465,16.562971115112305
6,-0.660213053226471,-17.5524845123291,18.378490447998047,17.661502838134766
7,-0.6867475509643555,-17.48105812072754,18.346342086791992,17.600675582885742
8,-0.6997242569923401,-17.052255630493164,17.92060661315918,17.16200828552246
9,-0.6980382204055786,-16.46982192993164,17.326736450195312,16.571706771850586
10,-0.6912112236022949,-17.10141944885254,17.952720642089844,17.20649528503418
11,-0.675392210483551,-15.404874801635742,16.228788375854492,15.499314308166504
12,-0.6989206075668335,-15.278508186340332,16.128326416015625,15.375733375549316
13,-0.7194458246231079,-13.714388847351074,14.560370445251465,13.784976959228516
14,-0.6873910427093506,-11.098694801330566,11.899036407470703,11.157866477966309
15,-0.6888941526412964,-11.737951278686523,12.565924644470215,11.821673393249512
16,-0.6585649251937866,-10.077569007873535,10.866292953491211,10.155083656311035
17,-0.6963217258453369,-10.918997764587402,11.709352493286133,10.959110260009766
18,-0.692732572555542,-8.537986755371094,9.35280704498291,8.604717254638672
19,-0.6793582439422607,-7.827320575714111,8.632838249206543,7.899292945861816
20,-0.6760015487670898,-7.987170696258545,8.784952163696289,8.054413795471191
21,-0.6716760993003845,-6.866401195526123,7.651142120361328,6.924725532531738
22,-0.6907432079315186,-6.22283935546875,7.039129257202148,6.293886184692383
23,-0.6752183437347412,-6.459186553955078,7.237060546875,6.507206439971924
24,-0.6559674143791199,-5.954774856567383,6.701955318450928,5.993668556213379
25,-0.664613664150238,-4.246001243591309,5.005936145782471,4.290070533752441
26,-0.6637099981307983,-5.780379295349121,6.527913570404053,5.8130784034729
27,-0.6868595480918884,-4.857945919036865,5.650521755218506,4.909075736999512
28,-0.6641707420349121,-5.971043109893799,6.7400031089782715,6.023266315460205
29,-0.6957365870475769,-2.8796730041503906,3.678154945373535,2.92710018157959
30,-0.664216160774231,-2.69027042388916,3.4466471672058105,2.729928731918335
31,-0.6806177496910095,-4.697453498840332,5.470521926879883,4.737359046936035
32,-0.6666303873062134,-3.7482411861419678,4.513018608093262,3.7915616035461426
33,-0.667417049407959,-3.6362669467926025,4.391256809234619,3.670133113861084
34,-0.671527624130249,-3.8541507720947266,4.615418434143066,3.890601634979248
35,-0.6535255908966064,-3.5662343502044678,4.32667875289917,3.618483543395996
36,-0.657035231590271,-4.3660712242126465,5.137142181396484,4.425414085388184
37,-0.6722837686538696,-2.148569345474243,2.9145705699920654,2.1875104904174805
38,-0.6523771286010742,-2.4528188705444336,3.203587293624878,2.4971365928649902
39,-0.6685380339622498,-2.331416368484497,3.093419313430786,2.3704776763916016
40,-0.7055387496948242,-2.148604154586792,2.940035343170166,2.1753368377685547
41,-0.689544141292572,-1.9320381879806519,2.7099287509918213,1.9640545845031738
42,-0.7083025574684143,-2.470088243484497,3.281036615371704,2.5143046379089355
43,-0.7004808187484741,-1.2821674346923828,2.063920736312866,1.305354118347168
44,-0.6975696086883545,0.07034867256879807,0.7156414985656738,-0.039737846702337265
45,-0.7105669975280762,-0.35798028111457825,1.1528866291046143,0.38364237546920776
46,-0.6966040134429932,-0.21961569786071777,1.0002785921096802,0.24434225261211395
47,-0.71808922290802,1.5149157047271729,-0.728401780128479,-1.5042240619659424
48,-0.6590035557746887,1.6191333532333374,-0.8736221194267273,-1.5887696743011475
49,-0.7101183533668518,0.13359202444553375,0.6629279851913452,-0.10740406811237335
50,-0.6964409351348877,1.1274988651275635,-0.3544638156890869,-1.1091185808181763
